Шестаков Афиноген Васильевич,1986-08-05,Петрова Ангелина Геннадьевна,1984-07-20,2007-01-18,2
Ширяев Савва Антипович,1997-08-05,Баранова Агата Филипповна,1966-06-19,2017-10-07,10
Анисимов Мефодий Устинович,1977-05-04,Воронцова Элеонора Олеговна,1986-05-15,2016-08-18,1
Козлов Фортунат Юлианович,1989-07-14,Трофимова Раиса Романовна,1973-03-15,2020-02-03,5
Селезнев Олимпий Якубович,1998-11-12,Кондратьева Милица Феликсовна,1978-08-02,2018-04-14,6
Костин Михей Виленович,1984-12-08,Титова Ирина Ждановна,1977-03-09,2014-05-17,9
Носков Казимир Адрианович,1995-11-23,Воробьева Марина Ниловна,2000-06-18,2020-09-10,9
Рыбаков Фирс Евсеевич,1972-05-22,Евсеева Анжела Руслановна,1989-12-09,2010-02-07,2
Горбунов Харитон Захарьевич,2000-09-27,Яковлева Алина Валериевна,1967-02-06,2019-12-06,8
Третьяков Пантелеймон Ефремович,1961-09-19,Миронова Ольга Матвеевна,1974-12-23,1997-07-23,6
Авдеев Никанор Фокич,1988-07-12,Гордеева Лариса Захаровна,1968-02-05,2015-07-28,9
Козлов Софон Арсенович,1962-03-13,Голубева Ангелина Наумовна,1994-03-04,2019-02-24,2
Некрасов Арсений Эдуардович,1995-11-10,Третьякова Алевтина Павловна,1968-05-25,2018-07-12,10
Суханов Роман Артемьевич,1968-12-02,Дроздова Раиса Артемовна,1986-09-12,2016-05-17,6
Дмитриев Харлампий Ааронович,1976-10-10,Красильникова Лариса Львовна,1990-07-09,2019-12-15,8
Андреев Антонин Захарьевич,1970-05-12,Пахомова Агата Константиновна,1972-08-07,2005-02-20,2
Никитин Панкрат Жанович,1999-08-03,Нестерова София Вячеславовна,1968-06-27,2017-10-18,8
Егоров Любосмысл Фомич,1964-01-15,Воробьева Октябрина Эльдаровна,1966-09-06,1985-04-28,2
Зимин Афиноген Архипович,1989-10-05,Лапина Полина Владимировна,1987-01-25,2016-01-06,9
Кабанов Данила Венедиктович,2000-05-27,Попова Наталья Владиславовна,1995-10-06,2020-11-10,3
Пономарев Станимир Феодосьевич,1974-09-09,Ситникова Раиса Николаевна,1968-09-22,2006-04-09,9
Горбачев Станимир Богданович,1985-05-15,Маркова Анжела Геннадьевна,1983-11-08,2016-10-04,6
Веселов Артемий Ануфриевич,1986-11-08,Кононова Лукия Захаровна,1983-09-17,2004-11-26,8
Карпов Олимпий Андреевич,1987-09-11,Одинцова Ирина Сергеевна,1964-10-12,2017-07-09,2
